epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.1835,1.04231,2.64927,1.37978,0.77165,0.83333,0.88888,0.6555,1.43525,1.40122,1.28201,0,0,0
2,8.11191,1.06671,3.00596,1.39913,0.80675,0.75,0.87496,0.64365,1.45843,1.41157,1.28875,9.5438e-07,9.5438e-07,9.5438e-07
3,11.8944,0.79358,2.97447,1.29881,0.75198,0.75,0.87469,0.63546,1.4798,1.43366,1.30176,1.43752e-06,1.43752e-06,1.43752e-06
4,15.6375,1.43,2.80518,1.93301,0.70235,0.75,0.87508,0.60442,1.49465,1.46446,1.30841,1.44942e-06,1.44942e-06,1.44942e-06
5,19.681,1.17492,3.52853,1.6497,0.67629,0.75,0.87536,0.60203,1.51271,1.46834,1.31304,9.9008e-07,9.9008e-07,9.9008e-07
